key,value,timestamp,step,is_nan,run_uuid
average_expected_price,510.16456618991737,1752939151159,0,0,f59885676388424e9dba4a43aa6431be
conf_interval_low,505.5811859774928,1752939153288,0,0,f59885676388424e9dba4a43aa6431be
conf_interval_high,514.9074201929615,1752939153324,0,0,f59885676388424e9dba4a43aa6431be
expected_price,312.129638671875,1752939165890,0,0,a2150c2887fc46dd904fb44a3f62a27e
average_expected_price,359.8550109863281,1752939165916,0,0,a2150c2887fc46dd904fb44a3f62a27e
num_rows,753.0,1752939187928,0,0,411cbdd027d24cbeb30c5c1846ed651f
num_columns,2.0,1752939187959,0,0,411cbdd027d24cbeb30c5c1846ed651f
average_expected_price,510.3187583935408,1752939189094,0,0,22a096d1935b402793499a1042a0eb4f
conf_interval_low,505.6900047410084,1752939191441,0,0,22a096d1935b402793499a1042a0eb4f
conf_interval_high,514.9708277523572,1752939191477,0,0,22a096d1935b402793499a1042a0eb4f
expected_price,464.6099853515625,1752939205834,0,0,a1be2d30b2cb4936b87433b5204b9ef6
average_expected_price,478.3206481933594,1752939205865,0,0,a1be2d30b2cb4936b87433b5204b9ef6
num_rows,753.0,1752939228797,0,0,658a393394864a9f821cf74b321395b1
num_columns,2.0,1752939228830,0,0,658a393394864a9f821cf74b321395b1
average_expected_price,510.25463394764614,1752939229843,0,0,8fb66370162546ea914ac34b5c9f6b88
conf_interval_low,505.2367954329789,1752939232097,0,0,8fb66370162546ea914ac34b5c9f6b88
conf_interval_high,515.1557359609333,1752939232129,0,0,8fb66370162546ea914ac34b5c9f6b88
expected_price,504.2763977050781,1752939241989,0,0,b17c413b576843d88d35c4d0be93e984
average_expected_price,504.09393310546875,1752939242013,0,0,b17c413b576843d88d35c4d0be93e984
num_rows,753.0,1752939263948,0,0,bac728273c8d414dbb8303fee6601921
num_columns,2.0,1752939263975,0,0,bac728273c8d414dbb8303fee6601921
average_expected_price,510.06951994690996,1752939264906,0,0,93c91999cdb9428cb072670eb1780922
conf_interval_low,505.2774789614169,1752939267222,0,0,93c91999cdb9428cb072670eb1780922
conf_interval_high,514.9548646977264,1752939267254,0,0,93c91999cdb9428cb072670eb1780922
expected_price,423.21295166015625,1752939279967,0,0,67803295d6b54e0a8670043857da842f
average_expected_price,447.3782043457031,1752939279994,0,0,67803295d6b54e0a8670043857da842f
num_rows,753.0,1752939301912,0,0,3a5e793dec6e455aac6ae26897c7d471
num_columns,2.0,1752939301942,0,0,3a5e793dec6e455aac6ae26897c7d471
average_expected_price,510.1147090431701,1752939302895,0,0,92aac1667e064dbeb7385e058da26073
conf_interval_low,505.5542229884375,1752939305086,0,0,92aac1667e064dbeb7385e058da26073
conf_interval_high,514.642584282736,1752939305119,0,0,92aac1667e064dbeb7385e058da26073
expected_price,543.670654296875,1752939317936,0,0,070fd0f3f7584b66b9325b95c5f39ce4
average_expected_price,530.6836547851562,1752939317965,0,0,070fd0f3f7584b66b9325b95c5f39ce4
num_rows,753.0,1752939340388,0,0,89f2c663608a4b16ab10b550af041031
num_columns,2.0,1752939340420,0,0,89f2c663608a4b16ab10b550af041031
average_expected_price,510.08050413252505,1752939341344,0,0,172b95757d2342af811371226a4a6ebf
conf_interval_low,505.4339956925693,1752939343659,0,0,172b95757d2342af811371226a4a6ebf
conf_interval_high,514.7925994527228,1752939343693,0,0,172b95757d2342af811371226a4a6ebf
expected_price,394.75140380859375,1752939355875,0,0,db5dd245e775429da6963e769837d543
average_expected_price,426.35528564453125,1752939355907,0,0,db5dd245e775429da6963e769837d543
num_rows,753.0,1752939378638,0,0,cac1e241fcca4838a9a2222f7b798e8d
num_columns,2.0,1752939378670,0,0,cac1e241fcca4838a9a2222f7b798e8d
